City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,Saint Paul Harbor,57.79,-152.4072,0.73,47,0,10.8,US,1677442883
135,Vaini,-21.2,-175.2,28.09,89,75,4.63,TO,1677442884
136,Kieta,-6.2167,155.6333,26.1,84,80,1.66,PG,1677442885
137,Padang,-0.9492,100.3543,24.75,81,67,2.61,ID,1677442886
138,Vanimo,-2.6741,141.3028,24.67,89,90,2.36,PG,1677442887
139,Lompoc,34.6391,-120.4579,14.18,63,46,2.24,US,1677442888
140,Broome,42.2506,-75.833,7.21,43,20,8.75,US,1677442888
141,Diffa,13.3154,12.6113,27.05,9,18,2.98,NE,1677442889
142,Cassilândia,-19.1133,-51.7342,28.1,74,95,0.66,BR,1677442890
143,Anadyr,64.75,177.4833,-23.72,76,100,6.0,RU,1677442890
144,Basti,26.8,82.7167,16.56,36,4,2.1,IN,1677442892
145,Deniliquin,-35.5333,144.9667,14.45,88,0,2.95,AU,1677442892
146,Severo-Kuril'sk,50.6789,156.125,-5.84,76,100,3.53,RU,1677442893
147,Bathsheba,13.2167,-59.5167,28.34,61,40,6.17,BB,1677442894
148,Huangyan,28.6478,121.2594,2.77,83,8,1.52,CN,1677442894
149,Hilo,19.7297,-155.09,23.86,80,75,4.63,US,1677442861
150,Barrow,71.2906,-156.7887,-24.99,77,100,11.32,US,1677442896
151,Lenger,42.183,69.8839,-2.31,66,1,3.23,KZ,1677442896
152,Maniitsoq,65.4167,-52.9,-14.85,87,100,3.93,GL,1677442897
153,Oistins,13.0667,-59.5333,28.05,61,40,6.17,BB,1677442889
154,Tuatapere,-46.1333,167.6833,12.56,86,79,0.99,NZ,1677442898
155,Vilhena,-12.7406,-60.1458,29.12,58,40,1.54,BR,1677442618
156,Bethanien,-26.502,17.1583,28.68,19,45,4.24,NA,1677442899
157,Teya,60.3778,92.6267,-12.55,93,100,2.88,RU,1677442900
158,Atyrau,47.1167,51.8833,0.01,86,37,5.0,KZ,1677442678
159,Lebu,-37.6167,-73.65,16.0,64,42,9.8,CL,1677442901
160,Manokwari,-0.8667,134.0833,25.2,77,72,1.82,ID,1677442901
161,Pringsewu,-5.3582,104.9744,22.19,97,92,1.03,ID,1677442902
162,Waingapu,-9.6567,120.2641,24.77,90,100,3.65,ID,1677442903
163,Vardø,70.3705,31.1107,-2.01,86,75,10.29,NO,1677442903
164,Verkhoyansk,67.5447,133.385,-20.99,99,100,2.07,RU,1677442904
165,Saint-Philippe,-21.3585,55.7679,25.77,82,19,2.43,RE,1677442905
166,Provideniya,64.3833,-173.3,-24.51,86,14,1.9,RU,1677442905
167,Ambunti,-4.2365,142.8448,23.08,99,100,0.5,PG,1677442906
168,Merauke,-8.4667,140.3333,26.16,87,100,4.3,ID,1677442907
169,Saldanha,-33.0117,17.9442,17.96,82,0,9.82,ZA,1677442907
170,Cabo San Lucas,22.8909,-109.9124,25.9,73,75,4.12,MX,1677442908
171,Banda Aceh,5.5577,95.3222,25.11,82,46,5.59,ID,1677442909
172,Ayr,55.4627,-4.6339,2.99,81,0,3.6,GB,1677442909
173,Sørland,67.667,12.6934,5.92,94,100,7.01,NO,1677442910
174,Poum,-20.2333,164.0167,26.31,81,95,3.56,NC,1677442910
175,Darovskoy,58.77,47.9564,0.38,97,100,4.8,RU,1677442911
176,Bergen,60.392,5.328,4.37,92,75,3.09,NO,1677442912
177,Ugra,54.7777,34.3267,-5.88,90,100,5.27,RU,1677442912
178,San Rafael,-34.6177,-68.3301,28.1,13,5,4.56,AR,1677442841
179,Inírida,3.8653,-67.9239,32.19,52,97,0.51,CO,1677442913
180,Beringovskiy,63.05,179.3167,-20.5,98,45,2.79,RU,1677442913
181,Quatre Cocos,-20.2078,57.7625,24.49,79,8,2.27,MU,1677442914
182,Carnarvon,-24.8667,113.6333,24.99,81,100,6.46,AU,1677442785
183,San Juan,-31.5375,-68.5364,29.8,16,0,3.18,AR,1677442818
184,Flinders,-34.5833,150.8552,21.21,82,71,1.79,AU,1677442915
185,San Cristobal,7.7669,-72.225,25.1,33,42,0.5,VE,1677442915
